epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2143.9,0.87933,0.74095,1.16097,0.13724,0.29095,0.09481,0.02054,3.51744,5.65225,6.44689,0.000359409,0.000359409,0.000359409
43,2195.95,0.82957,0.70541,1.15799,0.14287,0.30587,0.10388,0.01966,3.60096,5.39955,6.50556,0.000341077,0.000341077,0.000341077
44,2247.86,0.89052,0.75328,1.18824,0.1384,0.22259,0.09257,0.01935,3.57563,5.50098,6.41233,0.000322745,0.000322745,0.000322745
45,2300,0.84767,0.71368,1.15169,0.16333,0.29018,0.14652,0.0281,3.51403,5.20662,6.28551,0.000304414,0.000304414,0.000304414
46,2352.3,0.83382,0.69457,1.16689,0.14313,0.24961,0.10129,0.01782,3.50655,5.88648,6.21176,0.000286083,0.000286083,0.000286083
47,2404.44,0.81869,0.69579,1.1688,0.15787,0.2602,0.10071,0.02007,3.55675,5.83854,6.65687,0.000267751,0.000267751,0.000267751
48,2456.09,0.82645,0.6815,1.15258,0.14754,0.25389,0.08403,0.01448,3.61354,6.21803,6.70092,0.00024942,0.00024942,0.00024942
49,2508.17,0.80286,0.66396,1.15508,0.12271,0.24423,0.05696,0.01141,3.62951,6.16467,6.94142,0.000231088,0.000231088,0.000231088
50,2560,0.81713,0.67539,1.1402,0.12886,0.2237,0.07058,0.01309,3.553,5.93448,6.68082,0.000212757,0.000212757,0.000212757
51,2612.03,0.71014,0.69553,1.10539,0.12569,0.29648,0.08778,0.01797,3.54142,5.26849,6.81642,0.000194425,0.000194425,0.000194425
52,2663.47,0.71114,0.675,1.10848,0.16487,0.27766,0.12883,0.01975,3.58781,5.98728,6.96616,0.000176094,0.000176094,0.000176094
53,2715.7,0.69116,0.58081,1.0775,0.15341,0.31978,0.10935,0.02017,3.60348,6.66833,6.79364,0.000157762,0.000157762,0.000157762
54,2767.19,0.69152,0.60416,1.08375,0.1599,0.27184,0.09855,0.01887,3.57977,5.73118,6.64054,0.000139431,0.000139431,0.000139431
55,2819.28,0.66692,0.5784,1.05233,0.17318,0.27131,0.11696,0.02074,3.60134,5.54235,6.73723,0.000121099,0.000121099,0.000121099
56,2871.16,0.65206,0.57378,1.06246,0.18628,0.26131,0.11797,0.01932,3.61849,5.60818,6.72131,0.000102768,0.000102768,0.000102768
57,2922.92,0.64047,0.55319,1.03468,0.17699,0.27131,0.10717,0.01852,3.61918,5.24038,6.6753,8.4436e-05,8.4436e-05,8.4436e-05
58,2974.19,0.67524,0.55568,1.04127,0.15569,0.23909,0.07802,0.01566,3.67011,5.25374,6.93048,6.61045e-05,6.61045e-05,6.61045e-05
59,3026.24,0.62062,0.56796,1.0448,0.15088,0.25916,0.07834,0.01484,3.7076,5.67681,7.10931,4.7773e-05,4.7773e-05,4.7773e-05
60,3077.34,0.63354,0.5611,1.03714,0.16108,0.28236,0.08477,0.01597,3.69368,5.93511,7.08519,2.94415e-05,2.94415e-05,2.94415e-05
